,comments,created_time,id,likes,link,message,shares,type
0,11,2018-04-01T02:00:00+0000,269055023104718_1931946673482203,197,https://www.facebook.com/HuaweiMobileSG/videos/1931943176815886/,"Are you ready for the pre-order of the all-new P20?

Just one mooore day to go.

Find out more at https://bit.ly/2GgXVOd",6,video
1,12,2018-03-29T10:14:18+0000,269055023104718_1931992853477585,913,https://www.facebook.com/HuaweiMobileSG/photos/a.1931992816810922.1073741889.269055023104718/1931992853477585/?type=3,"Unfamiliar with Upper Thomson? Then this guide is perfect for you. 

Check out some of the must-dos and must-eats you should try this long weekend.

#ShotOnMate10Pro",50,photo
2,5,2018-03-29T10:00:48+0000,269055023104718_1931773800166157,999,https://www.facebook.com/HuaweiMobileSG/photos/a.276734435670110.77050.269055023104718/1931773780166159/?type=3,"If you love cycling down the coast, or even back home, our Huawei Health app can turn that into a fitness goal. 

Simply download it from the Google Playstore and you’ll be one step closer to ultimate fitness 🚴🏻",3,photo
3,29,2018-03-29T04:37:10+0000,269055023104718_2338875739471537,1823,https://www.facebook.com/HuaweiMobileSG/videos/2338875739471537/,"Are you ready to see mooore and do mooore with the New Huawei P20 series?

Be the first to get exclusive access and register your interest now! 😎",38,video
4,40,2018-03-29T03:43:30+0000,269055023104718_10155663866929401,1100,https://www.facebook.com/HuaweiMobileSG/videos/10155663866929401/,Find out everything you could possibly want to know about the all-new HUAWEI P20 and P20 Pro here.,119,video
5,11,2018-03-28T03:03:02+0000,269055023104718_1930564450287092,253,https://www.dxomark.com/huawei-p20-pro-camera-review-innovative-technologies-outstanding-results/,"🥇FIRSTS OF MANY FIRSTS #OOO
“With an overall score of 109 points, the Huawei P20 Pro sets a new benchmark for smartphone cameras on DxOMark.com, outscoring all of its closest rivals, such as the Apple iPhone X, the Google Pixel 2, and the Samsung Galaxy S9 Plus by a margin that is close to or higher than 10 points.”

Be First too! Register your interest 🇸🇬 now: https://bit.ly/2pA2bOC",40,link
6,33,2018-03-28T00:59:33+0000,269055023104718_1930471526963051,302,https://www.channelnewsasia.com/news/technology/huawei-zooms-in-on-camera-innovations-during-p20-p20-pro-launch-10078694?cid=fbcna,"Powered by AI. This is master photography at its very best #OOO #HUAWEIP20

Get yours before anyone else. Register your interest now https://bit.ly/2pA2bOC",78,link
7,33,2018-03-27T17:00:39+0000,269055023104718_1929947053682165,398,http://www.straitstimes.com/tech/smartphones/huawei-announces-worlds-first-triple-camera-p20-pro-smartphone?&utm_source=facebook&utm_medium=social-media&utm_campaign=addtoany,"We’ve outdone ourselves again #OOO #HUAWEIP20
Register your interest now to get your P20 or P20 Pro before anyone else: https://bit.ly/2pA2bOC",98,link
8,72,2018-03-27T16:29:21+0000,269055023104718_1929918087018395,1190,https://www.hardwarezone.com.sg/feature-huawei-p20-and-p20-pro-hands-camera-game-changer,"Game. Over. 
Meet the New #HUAWEIP20 #OOO
Be the first to get one when it lands on our shores. Register Your Interest here: https://bit.ly/2pA2bOC",221,link
9,26,2018-03-27T14:30:03+0000,269055023104718_1929797900363747,314,https://www.facebook.com/ChannelNewsAsia/videos/10155476483427934/,"First indeed! Check out our very own 🇸🇬  Channelnews asia giving you the FIRST LOOK 🏁😎 Stay tuned for more reviews of the P20 here!
#OOO #SEEMOOORE #HUAWEIP20",177,video
