Xiaomi,"['Redmi Note 5 Pro', 'Redmi Note 5 (Redmi 5 Plus)', 'Redmi 5', 'Redmi 5A', 'Redmi Y1 (Note 5A)', 'Redmi Y1 Lite', 'Mi Note 3', 'Mi Mix 2', 'Mi A1', 'Mi Max 2', 'Redmi 4 (4X)', 'Mi 6', 'Mi 5c', 'Redmi Note 4X', 'Redmi Note 4', 'Redmi 4A', 'Redmi 4 (China)', 'Redmi 4 Prime', 'Mi 6 Plus', 'Mi Mix', 'Mi Note 2', 'Mi 5s Plus', 'Mi 5s', 'Redmi Note 4 (MediaTek)', 'Redmi Pro', 'Redmi 3x', 'Redmi 3s Prime', 'Redmi 3s', 'Redmi 3 Pro', 'Mi 5', 'Mi Max', 'Mi 4s', 'Redmi Note 3', 'Redmi 3', 'Redmi Note Prime', 'Redmi Note 3 (MediaTek)', 'Mi 4c', 'Redmi Note 2']"
Google,"['Pixel 2', 'Pixel 2 XL', 'Pixel XL', 'Pixel']"
Acer,"['Liquid Z6 Plus', 'Liquid Z6', 'Liquid X2', 'Liquid Jade 2', 'Liquid Zest Plus', 'Liquid Zest', 'Liquid Jade Primo', 'Liquid Z330', 'Liquid Z320', 'Liquid Z630S', 'Liquid Z630', 'Liquid Z530S', 'Liquid Z530', 'Liquid M330', 'Liquid M320', 'Liquid Jade Z', 'Liquid Z520', 'Liquid Z220', 'Liquid M220', 'Liquid Z410', 'Liquid Jade S', 'Liquid Z500', 'Liquid X1', 'Liquid Jade', 'Liquid E700', 'Liquid E600', 'Liquid Z200', 'Liquid E3 Duo Plus', 'Liquid E3']"
Asus,"['Zenfone Max Plus (M1)', 'Zenfone V V520KL', 'Zenfone 4 Pro ZS551KL', 'Zenfone 4 ZE554KL', 'Zenfone 4 Selfie Lite ZB553KL', 'Zenfone 4 Selfie ZB553KL', 'Zenfone 4 Selfie Pro ZD552KL', 'Zenfone 4 Selfie ZD553KL', 'Zenfone 4 Max ZC520KL', 'Zenfone 4 Max Plus ZC554KL', 'Zenfone 4 Max Pro ZC554KL', 'Zenfone 4 Max ZC554KL', 'Zenfone Go ZB552KL', 'Zenfone Live ZB501KL', 'Zenfone 3s Max ZC521TL', 'Zenfone AR ZS571KL', 'Zenfone 3 Zoom ZE553KL', 'Zenfone Go ZB500KL', 'Zenfone 3 Max ZC553KL', 'Zenfone 3 Deluxe 5.5 ZS550KL', 'Zenfone 3 Max ZC520TL', 'Zenfone 3 Laser ZC551KL', 'Zenfone 3 ZE520KL', 'Zenfone Pegasus 3', 'Zenfone 3 Ultra ZU680KL', 'Zenfone 3 Deluxe ZS570KL', 'Zenfone 3 ZE552KL', 'Zenfone Max ZC550KL (2016)', 'Zenfone Go ZB450KL', 'Zenfone Go ZB452KG', 'Zenfone Go ZB551KL']"
Oppo,"['A71 (2018)', 'A83', 'F5 Youth', 'F5', 'R11s Plus', 'R11s', 'A71', 'A77', 'R11 Plus', 'R11', 'A77 (Mediatek)', 'A39', 'F3', 'F3 Plus', 'A57', 'F1s', 'R9s Plus', 'R9s', 'A37', 'A59', 'R9 Plus', 'F1 Plus', 'F1', 'A53', 'A33', 'Neo 7', 'R7s', 'R7 lite', 'R5s', 'Mirror 5s', 'Mirror 5', 'Joy 3', 'R7 Plus', 'R7', 'Neo 5 (2015)', 'Neo 5s', 'Joy Plus', 'Mirror 3', 'A31', 'R1x']"
OnePlus,"['5T', '5', '3T', '3', 'X', '2', 'One']"
Meizu,"['M6s', 'M6', 'M6 Note', 'Pro 7 Plus', 'Pro 7', 'M5c', 'E2', 'M5s', 'M5 Note', 'M3x', 'Pro 6 Plus', 'MX5e', 'U10', 'U20', 'Pro 6s', 'M5', 'M3 Max', 'M3e', 'MX6', 'M3s', 'M3', 'Pro 6', 'M3 Note', 'PRO 5 mini', 'M1 Metal', 'PRO 5', 'M2', 'MX5', 'M2 Note', 'M1', 'M1 Note', 'MX4 Pro', 'MX4', 'MX3', 'MX2', 'MX 4-core', 'MX']"
BlackBerry,"['Motion', 'Aurora', 'Keyone', 'DTEK60', 'DTEK50', 'Priv', 'Leap', 'Classic Non Camera', ""Porsche Design P'9983"", 'Passport', 'Classic', 'Z3', ""Porsche Design P'9982"", 'Z30', '9720', 'Q5', 'Z10', 'Q10', 'Curve 9320', 'Curve 9220', 'Curve 9380', 'Bold 9790', ""Porsche Design P'9981"", 'Curve 9370', 'Curve 9360', 'Curve 9350', 'Torch 9810', 'Torch 9860', 'Torch 9850', 'Bold Touch 9900', 'Bold Touch 9930', 'Bold 9780', 'Style 9670', 'Curve 3G 9330', 'Curve 3G 9300', 'Torch 9800']"
alcatel,"['5', '3v', '3x', '3', '1x', '3c', 'Idol 5s', 'Idol 5', 'A7 XL', 'A7', 'U5 HD', 'Pulsemix', 'Idol 5s (USA)', 'Flash (2017)', 'U5', 'A5 LED', 'A3', 'A3 XL', 'Shine Lite', 'Pixi 4 Plus Power', 'Fierce 4', 'X1', 'Pixi 4 (5)', 'Flash Plus 2', 'Pop 4S', 'Pop 4+', 'Pop 4', 'Idol 4s Windows', 'Idol 4s', 'Idol 4', 'Fierce XL (Windows)', 'Pixi 4 (6) 3G', 'Pixi 4 (6)', 'Pixi 4 (4)', 'Pixi 4 (3.5)', 'Pixi 3 (8) LTE', 'Pop 3 (5.5)']"
ZTE,"['Blade V9 Vita', 'Blade V9', 'Tempo Go', 'Blade A3', 'Blade A6', 'Maven 2', 'Blade X', 'nubia Z17s', 'nubia Z17 miniS', 'nubia Z17 lite', 'Blade Z Max', 'Blade Force', 'Tempo X', 'Blade A601', 'Blade V7 Plus', 'nubia N2', 'nubia M2', 'nubia M2 lite', 'nubia M2 Play', 'nubia Z17', 'Axon 7s', 'Max XL', 'nubia Z17 mini', 'Blade A520', 'nubia N1 lite', 'Blade V8 Mini', 'Blade V8 Lite', 'Blade A2 Plus', 'Hawkeye', 'Blade V8 Pro', 'Blade V8', 'Axon 7 Max', 'Grand X4', 'Blade V7 Max', 'nubia Z11 mini S', 'Axon 7 mini', 'Warp 7']"
