favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,extended_entities
2,Hootsuite,@fernando_abbey We're aiming to release worldwide in Q2 2017 (April - June).,fernando_abbey,False,Mon Mar 27 22:10:11 +0000 2017,0,846484521121959937,
0,Facelift Cloud,@LumiaRahul,LumiaRahul,False,Fri Jan 12 04:39:53 +0000 2018,0,951675072565137413,
2,Twitter Web Client,@LovelyVenkaT44 Hi! Thanks for your interest. Our VR offering comes from our friends @nokiaozo please head there for all things VR! 😀,LovelyVenkaT44,False,Tue May 23 16:02:36 +0000 2017,0,867048122643566593,
2,Twitter Web Client,"@sniperlover1989 Dates haven't changed Lino, still aiming for a Q2 2017 release. Keep an eye on our social media pa… https://t.co/NN5YrrfpK8",sniperlover1989,False,Sun May 21 15:25:30 +0000 2017,0,866314011167555588,
2,Twitter Web Client,"@callumelsdon @sarvikas Hi Callum, no word on that at the moment, however we're always listening to user feedback.",callumelsdon,False,Sat Sep 16 10:33:01 +0000 2017,13,909002174717464578,
23,Twitter Web Client,@Shubham_891 @sarvikas Watch this space! 🙂,Shubham_891,False,Wed Oct 11 15:53:37 +0000 2017,110,918142554809528320,
1,Twitter Web Client,"@Being1raj We are sorry to hear this, have you tried reaching out to our support team at: https://t.co/SsyXdcZRd6",Being1raj,False,Wed Nov 08 09:44:28 +0000 2017,4,928196512504524800,
0,Twitter Web Client,@karishmanaidu5 @Vivo_India @oppo That's because the answer hasn't changed. :),karishmanaidu5,False,Sun May 07 12:16:21 +0000 2017,0,861192980455194624,
1,Twitter for iPhone,"@sgkonline Hi there, sorry to hear that you are experiencing these issues. Please follow this link for support https://t.co/bfT4sU1hq3",itsmangopeople,False,Wed Jul 26 20:40:48 +0000 2017,0,890310958480019456,
3,Conversocial,"@aliquisnj We certainly do, check out our latest smartphone range at https://t.co/wPKTEvuO3e",aliquisnj,False,Sun Mar 05 23:41:49 +0000 2017,0,838535050685730816,
1,Facelift Cloud,"@1koalabear Hi there, thanks for the love!",1koalabear,False,Wed Mar 07 17:43:01 +0000 2018,0,971441098748055554,
12,Twitter Web Client,@JunanKim1 @MaggieDallosped Currently only on the Nokia 8 :),JunanKim1,False,Sat Oct 14 03:54:25 +0000 2017,90,919048722905907200,
0,Hootsuite,"@Randeep56847880 @Randeep56847880 Hi, please check out https://t.co/YwVhRjFSh4 for all the product specifications.… https://t.co/pK8KafAx6q",Randeep56847880,False,Thu May 04 14:45:33 +0000 2017,0,860143364238450689,
1,Facelift Cloud,@iamruvaid Great Shot!,iamruvaid,False,Mon Mar 26 17:01:17 +0000 2018,0,978315965334196224,
0,Hootsuite,@bobovnikovalek They will receive future Android updates and monthly security updates.,bobovnikovalek,False,Wed Apr 26 23:40:36 +0000 2017,0,857378912875184129,
3,Twitter Web Client,"@BenoyNelson No, it does not",BenoyNelson,False,Fri Sep 22 00:03:34 +0000 2017,15,911018095589781504,
5,Conversocial,"@punit_online We’re excited to say the products will be available in India Q2, 2017.",punit_online,False,Mon Feb 27 12:59:18 +0000 2017,2,836199026777272320,
492,Twitter Web Client,It's #BoxingDay. Which #Nokiamobile is now in your bag? https://t.co/o6fDOaXTGf,,False,Tue Dec 26 14:23:04 +0000 2017,82,945661241527361536,['http://pbs.twimg.com/ext_tw_video_thumb/945659672039706625/pu/img/yEXSXjm3SoC4Eyfw.jpg']
3,Conversocial,@beyond1998xqy We've invested in excellent imaging solutions. Our cameras have large apertures &amp; are designed to perform in all conditions,beyond1998xqy,False,Fri Mar 10 17:04:47 +0000 2017,0,840247069587734528,
5,Twitter Web Client,@LanaJelic Looking good 😀,LanaJelic,False,Fri Jul 07 06:43:21 +0000 2017,1,883214838930915328,
0,Hootsuite,@Vib_park @Vib_park Hi! We will be launching globally in the coming months (April-June). Stay tuned to our social m… https://t.co/TNBMHiQiJi,Vib_park,False,Thu Apr 27 12:01:51 +0000 2017,0,857565455229345792,
3,Twitter for iPhone,@Julian_Camilo_R Thank you for the love and support! 💙🙌🏼,Julian_Camilo_R,False,Mon Jul 24 01:32:48 +0000 2017,0,889297280636862464,
6,Twitter Web Client,"@satyamj40595320 @RajivMakhni Thanks for the love, Satyam!",satyamjoshi0001,False,Sun Aug 20 16:54:31 +0000 2017,0,899313711445356548,
1,Facelift Cloud,"@emaz_anwar Hi Emaz, the Android Oreo is available for the Nokia 5, 6 or 8 only at the moment. You can register at… https://t.co/SSKZEBm5at",emaz_anwar,False,Mon Mar 12 12:54:39 +0000 2018,0,973180470841217024,
2,Conversocial,@ConradRebello Thanks for your kind words Conrad :),ConradRebello,False,Sun Feb 26 17:45:04 +0000 2017,0,835908556113129472,
8,Twitter Web Client,"@danbuche Hey Daniel, thanks for your interest! The Nokia 6 supports 1 sim up to 4G (4G, 3G or 2G) while the other… https://t.co/B9znsFlyqM",danbuche,False,Wed Jun 07 09:31:36 +0000 2017,0,872385544185098242,
0,Twitter Web Client,@Amittweeted Thanks for your feedback!,AmitTweeted,False,Mon Dec 18 19:00:11 +0000 2017,0,942831878566039552,
1,Hootsuite,@xAMwV2EX0iddpmN We're aiming to release worldwide in Q2 2017 (April - June).,xAMwV2EX0iddpmN,False,Wed Apr 05 02:37:51 +0000 2017,0,849450986427084800,
3,Conversocial,@oobivat You can head to our website right now to find more information and images - https://t.co/wPKTEvuO3e,oobivat,False,Mon Feb 27 11:02:40 +0000 2017,0,836169673670553600,
2,Hootsuite,@Nader_Belal we have invested in excellent imaging solutions. Our cameras have large apertures and are designed to… https://t.co/87T1UUWTV2,Nader_Belal,False,Sun Apr 02 23:55:06 +0000 2017,0,848685249840152577,
0,Facelift Cloud,@ShreynickRathod Hi there. Sorry to hear you are having trouble. Please contact our customer support who will be mo… https://t.co/tuZxmI240a,intriodxnr_SGR_,False,Thu Feb 08 12:03:14 +0000 2018,0,961571117952651265,
30,Twitter Web Client,"@lazarcata97 Sorry to hear this, please reach out to our 24h support team: https://t.co/SsyXdcZRd6!",lazarcata97,False,Fri Oct 06 13:37:15 +0000 2017,229,916296296251748357,
1,Facelift Cloud,@byrnephoto_uk Thanks for the great feedback.,byrnephoto_uk,False,Wed Jan 03 16:49:39 +0000 2018,0,948597236044324869,
0,Facelift Cloud,@rrkr56 Hi there. Sorry to hear you are having trouble. Please contact our customer support who will be more than h… https://t.co/loBzXpeR0s,rrkr56,False,Mon Mar 26 11:48:34 +0000 2018,0,978237270485544963,
3,Twitter Web Client,"@galpino1974 @CPWTweets Hi Jon, we are sorry to hear this! If you could also send a DM over to us we would like to… https://t.co/2vWcZ6XiHS",galpino1974,False,Fri Sep 15 11:39:28 +0000 2017,8,908656510120681472,
0,Facelift Cloud,"@Keith_Unique Hi, to receive the latest device updates you can register at https://t.co/waNGfPppQ8.",Keith_Unique,False,Sun Feb 04 08:37:29 +0000 2018,0,960069787509493762,
2,Twitter Web Client,"@Saadzeb7 @iamkrishna08 @ritchieyanks @HMDGlobal Thanks for your feedback, Saad. We'll pass it along!",Saadzeb7,False,Wed Nov 22 14:02:45 +0000 2017,2,933334942414712832,
0,Facelift Cloud,@LamiezHolworthy ❤️  your style!,LamiezHolworthy,False,Mon Feb 12 18:32:25 +0000 2018,0,963118611664719872,
3,Twitter Web Client,"@dz_nk Thanks for the support Darren, we think you'll be happy with the build quality of our new devices.",dz_nk,False,Mon Apr 17 11:22:05 +0000 2017,0,853931568603291648,
44,Twitter Web Client,"@MthamiezK We suggest contacting @microsofthelps, https://t.co/HAejmsSSNc or https://t.co/B25ziqkCpo for help.",NawaneKhomo,False,Wed Oct 04 22:20:13 +0000 2017,299,915703130343456768,
0,Hootsuite,"@keyur_patel32 @keyur_patel32 Hi, we can't comment or speculate on rumours. Stay tuned to our social media pages for updates.",keyur_patel32,False,Wed May 03 12:56:02 +0000 2017,0,859753414338785281,
0,Facelift Cloud,"@Nikhil10Wagh Hi there. For now, Nokia 6 2nd generation will be launched in China only. But do stay tuned to our so… https://t.co/d3M9C2FZdZ",imnikhilwagh10,False,Tue Feb 06 16:17:15 +0000 2018,0,960910268246253569,
176,Media Studio,Want to connect with fellow #Nokiamobile fans around the world? Check out our Community forum… https://t.co/cG7uGDDvnt,,False,Thu Oct 12 11:01:28 +0000 2017,156,918431420242161666,
1,Twitter Web Client,"@simonpeyda @slalit13 @HMDGlobal Thanks for your kind words and support Simon, we appreciate it!",simonpeyda,False,Sun Apr 30 07:55:38 +0000 2017,0,858590655467147264,
5,Twitter Web Client,"@Nosferatuvn We can't comment on unannounced devices or speculate on rumours, sorry Jefferson! Stay tuned to our so… https://t.co/pCLYFWQESP",Nosferatuvn,False,Sat Aug 19 16:27:36 +0000 2017,0,898944548717690880,
2,TweetDeck,@balakrishnan_5 Thanks for reaching out. We are unable to comment on any future devices.,balakrishnan_5,False,Wed Mar 15 10:51:35 +0000 2017,0,841965090169618433,
2,Hootsuite,@difwwh We're aiming to release worldwide in Q2 2017 (April - June).,difwwh,False,Fri Mar 31 01:36:21 +0000 2017,0,847623570226257928,
13,Twitter Web Client,@Viccky_maurya7 @amazonIN What a great friend you are :),Viccky_maurya7,False,Sat Oct 14 04:02:18 +0000 2017,89,919050709286268929,
1,Hootsuite,"@CAMohdJavedKhan @CAMohdjavedKhan Hi, thanks for your interest. This information will come soon. Stay tuned to our social media pages!",CAMohdJavedKhan,False,Fri Apr 07 16:33:58 +0000 2017,0,850386174430588931,
3,Hootsuite,@AnandSalim We don't comment or speculate on rumors. Stay tuned to our social channels for all the latest announcements,AnandSalim,False,Tue May 02 06:57:15 +0000 2017,0,859300736840192000,
2,Twitter Web Client,@china_koko The Nokia 8 will roll out globally this month and will be on sale very soon 🙂,china_koko,False,Wed Sep 13 05:17:36 +0000 2017,9,907835631996469251,
0,Twitter Web Client,"@NaveenKrPathak @geekyranjit Hi Naveen, prices may vary from country to country, €229 is a rough price for the European market.",NaveenKrPathak,False,Sat Jun 03 11:22:41 +0000 2017,0,870963946446086145,
1,Conversocial,"@DearSanket_B The products will be available in APAC, India, Middle East, Africa and Europe in Q2, 2017.",DearSanket_B,False,Thu Mar 02 14:32:04 +0000 2017,1,837309536608354305,
1,Twitter Web Client,@Phemistic17 @imnagateja We're aiming for a global release in Q2 2017 (April - June). Stay tuned to our social media pages for updates!,Phemistic17,False,Wed Mar 29 09:52:47 +0000 2017,1,847023723915948032,
0,Hootsuite,"@prince084 @binil_kurian We will be releasing very soon, please be patient a little longer, it will be worth the wait.",prince084,False,Wed May 31 05:56:52 +0000 2017,0,869794790883381248,
0,Hootsuite,"@SrinivasTSawkar @SrinivasTSawkar Hi, we will be launching globally in the coming months (May-June). Stay tuned to… https://t.co/d8kPRKwZ1r",SrinivasTSawkar,False,Mon May 08 10:09:25 +0000 2017,0,861523426854535168,
1,Facelift Cloud,@stilinSKI0911 Glad you love it!,stilinSKI0911,False,Thu Jan 25 12:51:16 +0000 2018,0,956509775986151424,
3,Twitter Web Client,@sbhatti85 Other colours will be rolling out globally soon 😃 keep an eye on our social media channels for future updates! 🙂,sbhatti85,False,Thu Sep 07 16:58:52 +0000 2017,4,905837784048513024,
3,Twitter Web Client,"@bmriinal Hi Mrinal, Android Oreo will soon be available on all Nokia smartphones, and available for testing in beta labs.",bmriinal,False,Thu Nov 30 14:58:46 +0000 2017,4,936248142835736576,
2,Hootsuite,"@chetanman2 @RahamanBacchu @chetanman2 they are on their way, Chetan, and will certainly be worth the wait!",NokianChetan,False,Thu Apr 13 07:58:29 +0000 2017,0,852430778730508288,
0,Twitter Web Client,@JamesCanalesJon And with you!,JamesCanalesJon,False,Sun May 07 13:21:10 +0000 2017,0,861209291214213121,
21,Twitter Web Client,@ZENMCPE1 @AnkitDhuria7 @mehta_ajey @HMDGlobal It's great you're excited 🤩,ZENMCPE1,False,Tue Oct 10 08:19:13 +0000 2017,173,917665809413165057,
1,TweetDeck,"@TMoneyConcepts Hi, we don't comment or speculate on rumours. Stay tuned to our social channels for all the latest announcements",TMoneyConcepts,False,Fri Mar 24 09:15:37 +0000 2017,0,845202430195384320,
0,Twitter Web Client,"@Swwapnil1234 @sarvikas Hi there, please reach out to our 24h support team: https://t.co/HdSKcClNxw . They will be able to help you!",BatmanSherloc,False,Wed Dec 13 09:23:45 +0000 2017,0,940874877023801344,
1,Conversocial,@celularactual Gracias por compartir!,celularactual,False,Thu Mar 02 20:27:34 +0000 2017,0,837399002463227905,
5,Twitter Web Client,"@hda_online @nokia Beautiful shot, Horst! Thanks for sharing. 😎",HorstAvenger,False,Sun Oct 29 18:07:44 +0000 2017,34,924699283919646720,
2,Facelift Cloud,@MdWajahat2 We love this picture!,mdw_798,False,Wed Jan 31 15:25:28 +0000 2018,0,958722910658682881,
0,Hootsuite,@aakash006sharma @shivam2witter We’re sorry you feel that way. We believe the new phones will reflect a commitment… https://t.co/gXk93EXRbY,aakash006sharma,False,Mon May 08 23:16:00 +0000 2017,0,861721376679489542,
2,Hootsuite,@danish_aq We will be launching our products globally in the coming months.,danish_aq,False,Sun Apr 09 06:15:10 +0000 2017,0,850955226471378944,
1,Hootsuite,@Wadee3oOoh @immicrosoftfan we don't comment or speculate on rumors. Stay tuned to our social channels for all the latest announcements,Wadee3oOoh,False,Mon Mar 13 22:12:40 +0000 2017,0,841411717938700288,
